"device_twin_variable_history_id","device_twin_id","customer_id","device_twin_variable_id","name","category","type","kind","value","unit","meta","created_at","alias"
"00000000-6440-9aad-7ce4-be001f279324","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279321","Status","captured","water","cold","1","unknown",NULL,"2023-04-20 01:51:41.756","auxiliary"
"00000000-6440-9aad-7ce4-be001f279326","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279322","Low Bat","hardware","battery","unknown","0","unknown",NULL,"2023-04-20 01:51:41.775","info"
"00000000-6440-9aad-7ce4-be001f279328","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279323","Keep Alive","unknown","unknown","unknown","240","min",NULL,"2023-04-20 01:51:41.796","auxiliary"
"00000000-6440-9aad-7ce4-be001f279329","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279325","Battery","hardware","battery","any","2.97","V",NULL,"2023-04-20 01:51:41.804","auxiliary"
"00000000-6440-9aad-7ce4-be001f27932a","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279327","Firmware Version","hardware","info","any","101","unknown",NULL,"2023-04-20 01:51:41.809","info"
"00000000-6440-9ab8-9df1-58001f42b211","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279321","Status","captured","water","cold","1","unknown",NULL,"2023-04-20 01:51:52.862","auxiliary"
"00000000-6440-9ab8-9df1-58001f42b212","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279322","Low Bat","hardware","battery","unknown","0","unknown",NULL,"2023-04-20 01:51:52.872","info"
"00000000-6440-9ab8-9df1-58001f42b213","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279323","Keep Alive","unknown","unknown","unknown","240","min",NULL,"2023-04-20 01:51:52.882","auxiliary"
"00000000-6440-9ab8-9df1-58001f42b214","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279325","Battery","hardware","battery","any","2.97","V",NULL,"2023-04-20 01:51:52.888","auxiliary"
"00000000-6440-9ab8-9df1-58001f42b215","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279327","Firmware Version","hardware","info","any","101","unknown",NULL,"2023-04-20 01:51:52.898","info"
"00000000-6440-9ac3-9df1-58001f42b224","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279321","Status","captured","water","cold","1","unknown",NULL,"2023-04-20 01:52:03.702","auxiliary"
"00000000-6440-9ac3-9df1-58001f42b225","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279323","Keep Alive","unknown","unknown","unknown","240","min",NULL,"2023-04-20 01:52:03.712","auxiliary"
"00000000-6440-9ac3-9df1-58001f42b226","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279322","Low Bat","hardware","battery","unknown","0","unknown",NULL,"2023-04-20 01:52:03.713","info"
"00000000-6440-9ac3-9df1-58001f42b227","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279325","Battery","hardware","battery","any","2.97","V",NULL,"2023-04-20 01:52:03.722","auxiliary"
"00000000-6440-9ac3-9df1-58001f42b228","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279327","Firmware Version","hardware","info","any","101","unknown",NULL,"2023-04-20 01:52:03.729","info"
"00000000-6440-9ace-9df1-58001f42b238","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279321","Status","captured","water","cold","1","unknown",NULL,"2023-04-20 01:52:14.731","auxiliary"
"00000000-6440-9ace-9df1-58001f42b239","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279322","Low Bat","hardware","battery","unknown","0","unknown",NULL,"2023-04-20 01:52:14.735","info"
"00000000-6440-9ace-9df1-58001f42b23a","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279323","Keep Alive","unknown","unknown","unknown","240","min",NULL,"2023-04-20 01:52:14.745","auxiliary"
